,ticker
0,0GUSDT
1,1000000BOBUSDT
2,1000000MOGUSDT
3,1000BONKUSDC
4,1000BONKUSDT
5,1000CATUSDT
6,1000CHEEMSUSDT
7,1000FLOKIUSDT
8,1000LUNCUSDT
9,1000PEPEUSDC
10,1000PEPEUSDT
11,1000RATSUSDT
12,1000SATSUSDT
13,1000SHIBUSDC
14,1000SHIBUSDT
15,1000WHYUSDT
16,1000XECUSDT
17,1000XUSDT
18,1INCHUSDT
19,1MBABYDOGEUSDT
20,2ZUSDT
21,42USDT
22,4USDT
23,A2ZUSDT
24,AAVEUSDC
25,AAVEUSDT
26,ACEUSDT
27,ACHUSDT
28,ACTUSDT
29,ACXUSDT
30,ADAUSDC
31,ADAUSDT
32,AERGOUSDT
33,AEROUSDT
34,AEVOUSDT
35,AGIXUSDT
36,AGLDUSDT
37,AGTUSDT
38,AI16ZUSDT
39,AIAUSDT
40,AINUSDT
41,AIOTUSDT
42,AIOUSDT
43,AIUSDT
44,AIXBTUSDT
45,AKEUSDT
46,AKTUSDT
47,ALCHUSDT
48,ALGOUSDT
49,ALICEUSDT
50,ALLOUSDT
51,ALLUSDT
52,ALPACAUSDT
53,ALPHAUSDT
54,ALPINEUSDT
55,ALTUSDT
56,AMBUSDT
57,ANIMEUSDT
58,ANKRUSDT
59,APEUSDT
60,API3USDT
61,APRUSDT
62,APTUSDT
63,ARBUSDC
64,ARBUSDT
65,ARCUSDT
66,ARIAUSDT
67,ARKMUSDT
68,ARKUSDT
69,ARPAUSDT
70,ARUSDT
71,ASRUSDT
72,ASTERUSDT
73,ASTRUSDT
74,ATAUSDT
75,ATHUSDT
76,ATOMUSDT
77,ATUSDT
78,AUCTIONUSDT
79,AUSDT
80,AVAAIUSDT
81,AVAUSDT
82,AVAXUSDC
83,AVAXUSDT
84,AVNTUSDT
85,AWEUSDT
86,AXLUSDT
87,AXSUSDT
88,B2USDT
89,B3USDT
90,BABYUSDT
91,BADGERUSDT
92,BAKEUSDT
93,BALUSDT
